TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA02,3300,500,3300,32613,3,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,25551,3,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30966,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31514,8,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31759,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,22160,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30506,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31086,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29447,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31402,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,34246,4,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31250,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,23388,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,23390,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,23393,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,14453,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29774,3,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31403,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32402,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31195,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31835,10,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30967,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,34224,8,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30969,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32412,8,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32296,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,10972,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32540,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32542,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32548,1,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29212,1,PAL,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29213,1,PAL,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31712,2,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29681,96,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31711,4,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31710,3,CX,A031,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31875,4,CX,A031,DL01,31.07.2023,AOA
