TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA02,3300,500,3300,30501,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30072,1,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,10121,1,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,10122,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29600,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,18136,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21487,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,18138,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,34039,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30009,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,33681,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31948,1,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31941,1,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,27152,4,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30348,4,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32210,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29992,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31942,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31824,5,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31744,3,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31667,1,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21795,3,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21804,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21802,1,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21796,3,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,13544,1,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30943,3,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30015,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30016,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21180,3,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32254,1,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31633,3,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29700,6,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,28925,3,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31882,6,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,22565,4,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,20666,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,34234,1,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,28738,2,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30026,10,CX,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,100000528,6,UN,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,100000529,15,UN,A087,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31764,1,CX,A087,DL01,31.07.2023,AOA
