TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA02,3300,500,3300,21487,1,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,18138,1,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,34039,1,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,27152,1,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31824,3,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30026,3,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,20666,2,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,22565,2,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21150,4,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29700,6,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31633,2,CX,A046,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21180,1,CX,A046,DL01,31.07.2023,AOA
