TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA01,3300,500,3300,120001696,1,PAL,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,120001690,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,120001695,1,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10026,1,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14806,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30195,1,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31680,40,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31540,1,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29568,6,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,17257,4,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16135,5,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29157,5,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10980,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29156,3,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10985,5,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10994,5,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30983,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30981,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30982,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30984,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14946,6,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11181,4,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16491,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11194,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16493,3,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14948,2,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29341,5,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29160,5,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,24299,5,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29159,5,CX,A109,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,25794,5,CX,A109,DL01,31.07.2023,AOA
