TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA01,3300,500,3300,120001696,1,PAL,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,120001690,2,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,120001695,2,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10026,4,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31769,2,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31542,2,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21205,2,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14035,3,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29568,8,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,17257,4,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33745,2,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16135,4,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10980,6,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29554,42,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22744,1,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14948,2,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11353,3,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29490,3,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11381,3,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30360,4,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30337,4,UN,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11399,4,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29109,3,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26575,4,CX,A071,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30790,3,CX,A071,DL01,31.07.2023,AOA
