TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA01,3300,500,3300,120001696,2,PAL,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,120001690,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14806,6,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14035,1,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33745,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16135,10,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10994,10,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14946,15,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11181,5,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16491,8,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22743,20,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11194,5,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16493,12,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29341,12,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29160,20,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,25794,12,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29158,20,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11353,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29490,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11381,3,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28828,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30337,6,UN,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11399,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26575,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28478,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28479,5,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27246,3,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21478,3,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29946,10,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26086,10,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29808,1,PAL,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29807,1,PAL,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33682,3,PAL,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10018,1,PAL,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22152,1,PAL,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27712,1,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18269,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18311,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32400,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26593,10,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26934,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26897,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26896,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31369,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31368,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27755,5,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27773,7,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31661,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31660,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31639,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32122,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31881,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31819,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31595,10,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31880,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32249,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29752,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29751,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29750,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32415,6,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,12890,6,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34256,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34257,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34107,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34192,8,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31427,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,20593,6,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32242,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14461,6,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32348,10,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30260,1,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30261,1,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10122,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29600,3,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18136,5,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21487,8,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18138,5,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31811,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33681,3,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32038,4,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31941,2,CX,A026,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30348,12,CX,A026,DL01,31.07.2023,AOA
