TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA01,3300,500,3300,31542,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29568,6,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,17257,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33745,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10980,4,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11183,5,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22744,6,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14948,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,24299,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31509,1,PAL,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11353,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29490,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11381,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28828,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30337,4,UN,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30338,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,25690,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11399,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29109,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26575,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30790,3,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28478,4,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28479,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32479,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21478,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11431,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26086,5,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29282,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22466,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10020,1,PAL,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22152,3,PAL,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18269,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18311,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18310,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18313,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32400,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26593,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26934,1,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26897,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26896,2,CX,A117,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31369,1,CX,A117,DL01,31.07.2023,AOA
