TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA01,3300,500,3300,120001682,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10026,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29568,6,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16135,4,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29157,6,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29156,4,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10994,4,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30983,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30981,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30982,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30984,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29554,42,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16491,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29160,4,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28828,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30337,4,UN,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,25690,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11399,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29109,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26575,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30790,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28478,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32479,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33682,1,PAL,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18311,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18313,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32400,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31331,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31321,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26593,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26934,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26897,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26896,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31369,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31368,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27755,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27756,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27773,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31595,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32294,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32415,3,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,12890,3,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34107,3,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34192,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32242,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,19241,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30928,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28328,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32348,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33681,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31824,3,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31744,4,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21180,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28925,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22565,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,20666,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28738,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30305,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27569,10,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27568,6,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26476,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,25551,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31514,3,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30506,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31086,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31402,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34246,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31250,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32412,3,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32540,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32542,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32548,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29284,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31200,3,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31198,4,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34112,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32312,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34011,6,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29245,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34244,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26504,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31283,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,25816,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29813,2,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31649,6,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30817,1,CX,A163,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,25877,6,CX,A163,DL01,31.07.2023,AOA
