TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA01,3300,500,3300,14035,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30981,1,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29554,42,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,11194,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,16493,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29341,8,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29160,8,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,24299,10,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29159,8,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,25794,8,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29158,8,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30338,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26575,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26086,10,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33682,1,PAL,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22152,3,PAL,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18313,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32400,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31881,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32294,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31880,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32415,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,20593,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14461,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32348,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30933,1,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18136,5,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21487,5,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,18138,5,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34039,5,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33681,3,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27152,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31744,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21804,1,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21802,1,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21796,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26909,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,21180,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31633,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29700,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22565,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34234,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28738,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30623,1,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27569,30,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27568,25,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31435,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29890,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30306,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30304,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26683,10,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,25551,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28724,1,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30884,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29774,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30085,60,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32296,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33888,4,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,10972,3,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31200,8,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,33936,3,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31198,6,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32247,2,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34240,1,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34241,1,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,26036,1,CX,A035,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29107,6,CX,A035,DL01,31.07.2023,AOA
