TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA02,3300,500,3300,30501,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30072,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,10121,1,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,10122,1,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29600,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21487,2,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,34039,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,19790,1,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30009,5,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31941,1,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,27152,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32210,7,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31942,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31824,8,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31744,4,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31667,2,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21795,6,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,26599,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21804,2,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21802,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,30943,2,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29995,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21180,1,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,31633,5,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,32346,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,29700,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,21150,3,CX,A039,DL01,31.07.2023,AOA
ZPC9,T,CA02,3300,500,3300,28925,1,CX,A039,DL01,31.07.2023,AOA
